0,1,2,3,4,5,6,7,8,9,10,11,12
282.86,316.12,1527.07,87.04,28.95,0,0.234,296.86,3.126,306.01,1.37334,0.918447,0
286.2,303.82,1506.39,85.84,29.196,0,0.244,285.63,2.968,325.34,1.45334,0.952977,0
277.525,310.03,1593.95,92.96,29.808,1,0.224,301.325,2.906,328.52,1.43334,0.962977,0
267.46,298.81,1439.61,86.64,29.566,0,0.244,303.41,2.954,312.6,1.43334,0.90411,0
263.8,313.12,1573.62,91.78,29.694,0,0.234,291.7,2.836,307.65,1.43334,0.901097,0
281.71,323.47,1558.12,89.96,28.282,0,0.234,302.77,3.034,322.9,1.43334,0.90676,0
275.86,319.17,1501.47,85.52,28.082,0,0.234,302.67,2.952,307.42,1.48334,1.008085,0
283.39,299.87,1599.1,85.61,30.444,0,0.244,299.03,3.002,319.6,1.46334,0.96488,0
290.71,318.48,1577.59,84.67,30.282,0,0.224,293.37,3.024,321.37,1.48334,0.993747,0
283.47,328.11,1605.7,87.02,30.262,1,0.224,287.72,2.918,321.29,1.49334,0.974687,0
299.17,335.62,1413.55,94.54,28.556,2,0.224,307.15,3.052,327.84,1.41334,0.966183,1
298.89,321.03,1462.03,92.58,29.652,1,0.244,320.36,2.946,328.6,1.49334,0.894858,1
284.965,308.78,1429.37,89.93,30.192,0,0.224,303.07,2.936,302.44,1.49334,0.948255,1
289.78,302.25,1418.2,89.27,27.13,0,0.244,302.56,2.756,313.61,1.49334,0.94411,1
283.69,308.77,1583.54,88.02,30.452,1,0.244,304.85,2.736,336.92,1.42834,0.951097,1
291.58,294.42,1634.02,103.18,30.148,2,0.224,306.16,3.01,328.06,1.34334,0.943939,2
292.1,316.06,1570.34,99.53,28.404,2,0.224,302.92,2.88,304.67,1.40334,0.962059,2
288.49,291.88,1487.99,94.59,27.278,2,0.234,303.01,2.804,312.01,1.34334,0.990542,2
278.88,294.76,1477.23,101.35,28.28,2,0.244,290.1,2.95,313.33,1.40334,0.968277,2
284.03,325.11,1536.67,96.09,28.888,2,0.244,284.45,2.774,311.17,1.44334,0.96697,2
266.1,313.94,1622.3,100.4,29.95,2,0.224,308.21,2.886,317.95,1.46334,0.946012,2
280.04,319.86,1566.56,98.405,27.88,2,0.234,286.17,3.122,306.24,1.46334,0.976204,2
