0,1,2,3,4,5,6,7,8,9,10,11,12
264.64,306.09,1516.42,86.825,27.356,0,0.244,299.26,2.938,315.625,1.44334,0.95958,0
266.7,292.46,1462.78,94.01,29.428,0,0.234,309.93,3.116,299.19,1.45334,0.925146,0
287.39,315.09,1584.14,87.22,29.276,0,0.244,292.24,3.108,311.42,1.42334,0.899772,0
285.12,310.05,1541.67,91.8,28.977,0,0.224,282.07,2.82,301.91,1.45334,0.967892,0
263.21,293.28,1474.18,90.02,27.162,0,0.244,300.545,3.022,302.26,1.35334,0.947144,0
266.84,300.76,1640.65,89.38,28.53,0,0.234,304.89,2.736,304.79,1.41334,0.97035,0
296.35,303.53,1526.83,86.83,27.264,0,0.234,278.71,2.934,313.16,1.44334,0.929217,0
271.16,318.11,1542.79,85.8,28.722,0,0.234,308.35,3.122,312.03,1.46334,0.931482,0
283.89,309.77,1586.62,95.14,27.304,2,0.224,286.24,2.95,319.59,1.48334,0.989409,0
289.32,311.07,1468.23,85.99,29.094,0,0.224,298.64,2.81,320.16,1.35334,0.928085,0
280.62,332.71,1423.33,91.85,27.752,1,0.224,311.25,2.816,336.62,1.42334,0.92599,1
281.64,318.36,1513.36,95.35,27.96,2,0.234,298.5,2.81,338.07,1.33334,0.926183,1
286.97,329.05,1557.32,92.37,30.392,1,0.244,315.24,2.846,326.3,1.46334,0.954858,1
287.29,313.04,1454.01,92.24,28.552,1,0.224,297.575,2.688,307.62,1.49334,0.91052,1
281.0,329.795,1498.18,88.03,28.244,1,0.234,295.3,2.796,316.26,1.46334,0.898255,1
306.3,305.71,1549.93,87.38,28.912,1,0.224,315.34,2.95,309.71,1.45334,1.020734,1
274.63,320.24,1618.545,102.43,27.244,2,0.234,279.07,2.896,319.57,1.49334,0.981674,2
274.24,326.8,1504.23,104.84,29.8,2,0.234,291.81,2.962,321.74,1.43334,0.99488,2
283.96,310.0,1493.45,105.81,28.539,2,0.244,289.66,3.014,316.875,1.45334,0.96488,2
270.33,320.12,1522.73,94.55,30.56,2,0.234,307.02,2.877,296.3,1.45334,0.99678,2
270.03,298.25,1495.72,100.9,28.562,2,0.244,281.91,2.808,314.26,1.43334,0.960542,2
272.8,308.0,1638.56,95.16,27.736,2,0.224,287.355,3.078,323.8,1.43334,0.919409,2
